omitted_video_id,omitted_n_frames,ema_alpha,metric,delta_after_omission
video_test_0000278,1610,0.5,ptsm,-0.009391492645747124
video_test_0000278,1610,0.5,missed_transition_rate,0.03772618641174463
video_test_0000285,1443,0.25,accuracy,0.005302392689671698
video_test_0000285,1443,0.25,global_ece,-0.02194792508998536
video_test_0000285,1443,0.25,mean_tfi,-1.5703324244980914
video_test_0000285,1443,0.25,mean_predicted_switches,-43.32857142857142
video_test_0000285,1443,0.25,mean_transition_delay,0.23277027027027053
video_test_0000285,1443,0.25,ptsm,-0.005436440468237574
video_test_0000285,1443,0.25,missed_transition_rate,0.013513513513513514
video_test_0000285,1443,0.5,accuracy,0.014674762534567676
video_test_0000285,1443,0.5,global_ece,-0.05151552694591546
video_test_0000285,1443,0.5,mean_tfi,-3.2663959841652668
video_test_0000285,1443,0.5,mean_predicted_switches,-93.64285714285714
video_test_0000285,1443,0.5,mean_transition_delay,0.6491554054054056
video_test_0000285,1443,0.5,ptsm,-0.009305163964788837
video_test_0000285,1443,0.5,missed_transition_rate,0.03851351351351351
video_test_0000292,566,0.25,accuracy,0.005357405181123487
video_test_0000292,566,0.25,global_ece,-0.0219992315213203
video_test_0000292,566,0.25,mean_tfi,-1.5533241306936914
video_test_0000292,566,0.25,mean_predicted_switches,-43.36190476190475
video_test_0000292,566,0.25,mean_transition_delay,0.23254637436762238
video_test_0000292,566,0.25,ptsm,-0.005444466054322555
video_test_0000292,566,0.25,missed_transition_rate,0.013490725126475561
video_test_0000292,566,0.5,accuracy,0.01472012279760282
video_test_0000292,566,0.5,global_ece,-0.051554905522795846
video_test_0000292,566,0.5,mean_tfi,-3.2438728513351585
video_test_0000292,566,0.5,mean_predicted_switches,-93.79047619047617
video_test_0000292,566,0.5,mean_transition_delay,0.6487352445193926
video_test_0000292,566,0.5,ptsm,-0.009329459889678232
video_test_0000292,566,0.5,missed_transition_rate,0.038448566610455315
video_test_0000293,1747,0.25,accuracy,0.005343346089970447
video_test_0000293,1747,0.25,global_ece,-0.022015240883225706
video_test_0000293,1747,0.25,mean_tfi,-1.5587065260760875
video_test_0000293,1747,0.25,mean_predicted_switches,-43.366666666666674
video_test_0000293,1747,0.25,mean_transition_delay,0.23195006747638391
video_test_0000293,1747,0.25,ptsm,-0.005439645410488914
video_test_0000293,1747,0.25,missed_transition_rate,0.013495276653171379
video_test_0000293,1747,0.5,accuracy,0.014712253592317204
video_test_0000293,1747,0.5,global_ece,-0.051605866244624626
video_test_0000293,1747,0.5,mean_tfi,-3.234877957340265
video_test_0000293,1747,0.5,mean_predicted_switches,-93.64285714285714
video_test_0000293,1747,0.5,mean_transition_delay,0.6481106612685563
video_test_0000293,1747,0.5,ptsm,-0.009316890583320109
video_test_0000293,1747,0.5,missed_transition_rate,0.038461538461538464
video_test_0000308,1812,0.25,accuracy,0.005371474311714031
video_test_0000308,1812,0.25,global_ece,-0.022044239130621562
video_test_0000308,1812,0.25,mean_tfi,-1.5733499195344
video_test_0000308,1812,0.25,mean_predicted_switches,-43.22857142857143
video_test_0000308,1812,0.25,mean_transition_delay,0.23357046070460719
video_test_0000308,1812,0.25,ptsm,-0.005441990211003139
video_test_0000308,1812,0.25,missed_transition_rate,0.013550135501355004
video_test_0000308,1812,0.5,accuracy,0.014703094390495663
video_test_0000308,1812,0.5,global_ece,-0.05162297707942606
video_test_0000308,1812,0.5,mean_tfi,-3.2721431287898914
video_test_0000308,1812,0.5,mean_predicted_switches,-93.43809523809523
